# File Name: Plate_6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-01 09:31:37 AM UTC
# Run End Date/Time: 2021-06-01 10:38:58 AM UTC
# Run Duration: 67 minutes 21 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-01 10:39:54 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-01 10:42:33 AM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"53","E5","AA_0754 I R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","88.24324035644531","","","","","","","","","","false"
"54","E6","AA_0754 I R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","92.01918029785156","","","","","","","","","","false"
"55","E7","AA_0815 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","92.32125854492188","74.49881744384766","88.84739685058594","84.92041778564453","","","","","","","false"
"56","E8","AA_0815 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","85.22248840332031","90.05569458007812","64.53033447265625","92.77436828613281","","","","","","","false"
"57","E9","AA_0815 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","84.79399108886719","93.26036071777344","75.26931762695312","88.87599182128906","","","","","","","false"
"58","E10","AA_0721","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","86.60821533203125","78.89776611328125","90.69021606445312","93.56273651123047","","","","","","","false"
"59","E11","AA_0721","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","90.38784790039062","79.351318359375","83.73568725585938","75.42050170898438","","","","","","","false"
"60","E12","AA_0721","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","83.13095092773438","92.20207214355469","78.89776611328125","86.7593994140625","","","","","","","false"
"61","F1","3x10_1 tyz","30.0","Standard Curve","FAM","STANDARD","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.04596446514135212","true","3","39","67.84912109375","81.88894653320312","64.8298110961914","73.28388977050781","","","","","","","false"
"62","F2","3x10_1 tyz","30.0","Standard Curve","FAM","STANDARD","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.04596446514135212","true","3","39","86.56887817382812","77.51093292236328","89.89012908935547","93.21138000488281","","","","","","","false"
