Mouse_ID,qPCR_Date,Tested_by,Machine,Measurements,Ct_1_Ep,Ct_2_Ep,Ct_3_Ep,Ct_4_Ep,Ct_5_Ep,Ct_6_Ep,Flag_Ct_1_Ep,Flag_Ct_2_Ep,Flag_Ct_3_Ep,Flag_Ct_4_Ep,Flag_Ct_5_Ep,Flag_Ct_6_Ep,Consistent_Ct_Ep,Corrected_Ct_Ep,Ct_mean_Ep,Ct_mean_ABI,Ct_mean,Ct_mean_1_ABI,Ct_mean_2_ABI,Ct_mean_3_ABI,Ct_1_ABI,Ct_2_ABI,Ct_3_ABI,Ct_4_ABI,Ct_5_ABI,Ct_6_ABI,Ct_7_ABI,Ct_8_ABI,Ct_9_ABI
AA_0703,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.74166667,33.74166667,34.23,33.25333333,NA,34.73285706,33.96615912,33.98130265,33.36,33.25,33.15,NA,NA,NA
AA_0755,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.77666667,33.77666667,34.17,33.38333333,NA,34.04114151,34.678407,33.78468512,33.14,33.71,33.3,NA,NA,NA
AA_0689,6/18/2021,Tes-Tes-Tes,7300_RealTimePCR + Quantstudio1 + Quantstudio1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.30151986,28.30151986,29.19301514,28.99333333,26.71821112,29.15210342,29.20052851,29.22641348,29.23,29.12,28.63,26.92011675,26.57049609,26.66402053
AA_0049,2016,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0050,2016,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0051,2016,YVT,Eppendorf,1,8,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0052,2016,YVT,Eppendorf,1,6.57,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0054,2016,YVT,Eppendorf,1,8.96,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0055,2016,YVT,Eppendorf,1,8.76,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0057,2016,YVT,Eppendorf,1,8.57,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0058,2016,YVT,Eppendorf,1,9.24,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0060,2016,YVT,Eppendorf,1,7.27,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0061,2016,YVT,Eppendorf,1,8.31,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0062,2016,YVT,Eppendorf,1,6.21,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0065,2016,YVT,Eppendorf,1,5.95,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0067,2016,YVT,Eppendorf,1,34.89,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0071,2016,YVT,Eppendorf,1,7.2,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0072,2016,YVT,Eppendorf,1,9.03,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0073,2016,YVT,Eppendorf,1,6.23,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0074,2016,YVT,Eppendorf,1,7.59,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0079,2016,YVT,Eppendorf,1,12.22,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0081,2016,YVT,Eppendorf,1,9.95,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0082,2016,YVT,Eppendorf,1,8.78,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0083,2016,YVT,Eppendorf,1,10.56,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0084,2016,YVT,Eppendorf,1,0,0,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0085,2016,YVT,Eppendorf,1,6.88,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0086,2016,YVT,Eppendorf,1,8.93,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0087,4/18/2019,YVT,Eppendorf,1,11.69,0,NA,NA,NA,NA,TRUE,FALSE,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
