"","Mouse_ID","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Feces_Weight","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","Ticks","eimeriaSpecies","MC.Eimeria","delta_ct_cewe_MminusE","Ct.Eimeria","Ct.Mus","IL.12","IRG6","CXCR3","IL.6","GBP2","CASP1","CXCL9","GAPDH","IDO1","IFNy","IL.10","IL.13","IL1RN","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PPIB","PRF1","RETNLB","SOCS1","TICAM1","TNF","CD4","Treg","Treg17","Th1","Th17","CD8","Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Ct_mean","Oocyst_Predict","ILWE_DNA_Content_ng.microliter","COCE","CEWE","ILWE","CECE","COWE","SICE","Host","FEC","SPL2","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp"
"11","AA_0057","M",13.3064,52.91,2016,"d","d","d","d",NA,"d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"2016-09-24",15,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dom",11.477,76,NA,16,NA,NA,NA,NA,NA,0.05,0.064,0.066,85,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"12","AA_0058","F",14.1158,52.8431,2016,NA,NA,"mm","mm","mm","dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",12,0.916666667,"2016-09-24",49,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",22.044,100,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,87,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"13","AA_0059","M",14.1158,52.8431,2016,"d","m","m","m","m","m","m","m","100","95","125","120","90/100","80/100","mm","mm","mm","mm","dm","dm",14,0.85,"2016-09-24",28,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",17.826,88,NA,18,2,NA,NA,NA,NA,147,0.063,0.069,86,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"14","AA_0060","F",14.1158,52.8431,2016,"d",NA,"mm","mm","mm","dm","mm","mm","94","95","125","120","90","80","dd","mm","mm","mm","mm","mm",13,0.84,"2016-09-24",65,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",26.264,94,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,82,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"15","AA_0061","M",13.599425,52.273117,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-24",17,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",11.937,72,NA,8,2.5,NA,NA,NA,NA,NA,0.044,0.047,80,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,29.0460644466522,25.7853676441147,NA,NA,24.552410576762,4.5500995252626,27.240859513104,NA,NA,13.8279449996314,21.6176809128899,9.90374428529745,28.9932850181643,8.66876465542623,20.5535263233958,19.2654416049661,28.2861457175401,NA,22.1950424732082,NA,10.3509720693764,19.1887494151625,28.670345864381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,0
"16","AA_0062","F",13.599425,52.273117,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100/125","100","100","100","dd","dd","dm","dd","dd","dd",13,0.04,"2016-09-24",46,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",17.289,87,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,92,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,0,0
"17","AA_0063","M",13.84,52.2678,2016,"d","m","d","d","d","d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",14,0.1,"2016-09-24",13,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",9.764,65,NA,NA,2.5,NA,NA,NA,NA,NA,0.019,0.014,74,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,0,0
"18","AA_0064","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","95/100","100","100/120","100","100","dd","dm","dd","dm","dd","dd",13,0.08,"2016-09-25",48,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,"dom",16.199,73,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,88,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0
"19","AA_0065","M",13.4642,52.4164,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-25",37,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",1,0,0,0,1,0,0,0,0.25,0.1,10000,8,"dom",14,75,NA,6,2.5,NA,NA,NA,NA,8,0.021,0.024,81,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,27.91444686101,NA,NA,24.1899451054068,NA,4.50656058684483,28.3400534541985,NA,28.4342996941865,28.7962402448963,23.0472022426504,10.4052934333715,NA,22.307365367559,21.4596242920353,NA,NA,23.8015916522179,NA,23.1497305835788,10.5026258347716,NA,27.8073788114574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"20","AA_0066","F",13.4642,52.4164,2016,"d",NA,"dd","dd","dd","dd","dd","dd","100","100","100","100","90/100","100","mm","dd","dd","dd","dm","dd",13,0.12,"2016-09-25",0.02,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,"dom",19.447,87,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,89,"2016-09-24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
