"","Mouse_ID","qPCR_Date","Tested_by","Machine","Measurements","Ct_mean_Ep","Ct_mean_ABI","Ct_mean","Oocyst_Predict","Crypto_Positive","ILWE_DNA_Content_ng.microliter","ILWE_used_up","Sex","Longitude","Latitude","Year","HI","mus_caught","Crypto_mus_caught","Infection_Rate","Address","Top_Location"
"101","AA_0159","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.12,13,0,0,NA,FALSE
"102","AA_0160","4/11/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.81,51.8978,2016,0.16,13,0,0,NA,FALSE
"103","AA_0173","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,36.76,38.17545677,37.46772839,41,TRUE,NA,NA,"M",14.0358,53.02,2016,0.9,2,1,0.5,NA,FALSE
"104","AA_0177","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.8433,53.1267,2016,0.7142857143,1,0,0,NA,FALSE
"105","AA_0178","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7542,53.1314,2016,0.84,2,0,0,NA,FALSE
"106","AA_0179","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.7542,53.1314,2016,0.9,2,0,0,NA,FALSE
"107","AA_0180","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.2144,53.1514,2016,0.8,20,0,0,NA,FALSE
"108","AA_0181","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.2144,53.1514,2016,0.65,20,0,0,NA,FALSE
"109","AA_0182","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.1725,53.0503,2016,0.04,1,0,0,NA,FALSE
"110","AA_0183","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.2144,53.1514,2016,0.75,20,0,0,NA,FALSE
"111","AA_0184","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.2144,53.1514,2016,0.84,20,0,0,NA,FALSE
"112","AA_0185","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",14.0356,53.0203,2016,0.85,5,0,0,NA,FALSE
"113","AA_0186","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.0356,53.0203,2016,0.75,5,0,0,NA,FALSE
"114","AA_0187","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",14.0356,53.0203,2016,0.85,5,0,0,NA,FALSE
"115","AA_0188","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.0356,53.0203,2016,0.72,5,0,0,NA,FALSE
"116","AA_0189","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",14.0356,53.0203,2016,0.8,5,0,0,NA,FALSE
"117","AA_0191","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",14.0358,53.02,2016,0.8,2,1,0.5,NA,FALSE
"118","AA_0192","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.88,7,1,0.142857142857143,NA,FALSE
"119","AA_0193","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.88,7,1,0.142857142857143,NA,FALSE
"120","AA_0194","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",14.1267,52.7347,2016,0.9473684,7,1,0.142857142857143,NA,FALSE
"121","AA_0195","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.88,7,1,0.142857142857143,NA,FALSE
"122","AA_0196","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1633,53.2397,2016,0.9,6,0,0,NA,FALSE
"123","AA_0197","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.88,7,1,0.142857142857143,NA,FALSE
"124","AA_0198","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.4497,53.0947,2016,0.7894736842,1,0,0,NA,FALSE
"125","AA_0199","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.1633,53.2397,2016,0.84,6,0,0,NA,FALSE
"126","AA_0200","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1633,53.2397,2016,0.85,6,0,0,NA,FALSE
"127","AA_0201","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.1633,53.2397,2016,0.96,6,0,0,NA,FALSE
"128","AA_0202","4/16/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1633,53.2397,2016,0.95,6,0,0,NA,FALSE
"129","AA_0203","4/16/2019","YVT","Eppendorf + Eppendorf",2,0,NA,0,0,FALSE,NA,NA,"F",13.4464,53.0481,2016,0.72,3,0,0,NA,FALSE
"130","AA_0205","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.4464,53.0481,2016,0.64,3,0,0,NA,FALSE
"131","AA_0206","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.1633,53.2397,2016,0.85,6,0,0,NA,FALSE
"132","AA_0207","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.0672,52.4019,2016,0.64,3,1,0.333333333333333,NA,FALSE
"133","AA_0208","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.4464,53.0481,2016,0.76,3,0,0,NA,FALSE
"134","AA_0209","2016","YVT","Eppendorf",1,28.47,NA,28.47,18174,TRUE,NA,NA,"F",14.0672,52.4019,2016,0.7391304348,3,1,0.333333333333333,NA,FALSE
"135","AA_0210","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.3217,52.6506,2016,0.7142857143,4,0,0,NA,FALSE
"136","AA_0211","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1267,52.7347,2016,0.8235294,7,1,0.142857142857143,NA,FALSE
"137","AA_0237","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6664,52.7339,2017,0,1,0,0,NA,FALSE
"138","AA_0238","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7897,52.5861,2017,0.12,2,0,0,NA,FALSE
"139","AA_0239","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7897,52.5861,2017,0.2,2,0,0,NA,FALSE
"140","AA_0240","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.7881,52.5844,2017,0.24,1,0,0,NA,FALSE
"141","AA_0241","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.0103,52.6242,2017,0.84,1,0,0,NA,FALSE
"142","AA_0243","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.8119,52.8875,2017,0.85,1,0,0,NA,FALSE
"143","AA_0244","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.5994,52.2458,2017,0.08333333333,4,0,0,NA,FALSE
"144","AA_0246","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6025,52.2225,2017,0.16,11,2,0.181818181818182,NA,FALSE
"145","AA_0247","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6025,52.2225,2017,0,11,2,0.181818181818182,NA,FALSE
"146","AA_0248","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6025,52.2225,2017,0,11,2,0.181818181818182,NA,FALSE
"147","AA_0249","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6025,52.2225,2017,0,11,2,0.181818181818182,NA,FALSE
"148","AA_0250","2017","YVT","Eppendorf",1,30.79,NA,30.79,3776,TRUE,NA,NA,"M",13.6025,52.2225,2017,0,11,2,0.181818181818182,NA,FALSE
"149","AA_0251","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6025,52.2225,2017,0,11,2,0.181818181818182,NA,FALSE
"150","AA_0252","2017","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6025,52.2225,2017,0.05,11,2,0.181818181818182,NA,FALSE
