Mouse_ID,Ct_1,Ct_2,Ct_mean,Oocyts_1,Oocyst_2,Oocyst_mean,Oocyst_calculated,Final_Oocyst_calculated
AA_0312,36.68,0,0,0,0,0,0,0
AA_0313,36.92,38.31,37.62,0,0,0,296.093294,296
AA_0314,7.48,0,0,0,0,0,0,0
AA_0315,0,0,0,0,0,0,0,0
AA_0316,30.06,0,0,0,0,0,0,0
AA_0317,36.79,34.76,35.78,0,0,0,811.9397611,812
AA_0318,32.22,30.39,31.31,0,0,0,9414.76586,9415
AA_0319,9.13,0,0,0,0,0,0,0
AA_0322,7.5,37.68,22.59,0,0,0,1122018.454,1122018
AA_0323,6.53,0,0,0,0,0,0,0
AA_0324,6.19,0,0,0,0,0,0,0
AA_0325,7.48,37.9,22.69,0,0,0,1062161.306,1062161
AA_0326,31.84,30.76,31.3,0,0,0,9466.522603,9467
AA_0327,36.63,36.73,36.68,0,0,0,495.7218882,496
AA_0328,0,0,0,0,0,0,0,0
AA_0333,31.44,29.97,30.71,0,0,0,13081.77474,13082
AA_0337,29.34,28.29,28.82,0,0,0,36869.45065,36869
AA_0338,0,0,0,0,0,0,0,0
AA_0339,9.14,0,0,0,0,0,0,0
AA_0340,35.71,0,0,0,0,0,0,0
AA_0342,11.87,0,0,0,0,0,0,0
AA_0343,0,0,0,0,0,0,0,0
AA_0344,37.2,0,0,0,0,0,0,0
AA_0345,34.37,32.61,33.49,0,0,0,2849.455669,2849
AA_0346,0,0,0,0,0,0,0,0
AA_0347,32.04,30.24,31.14,0,0,0,10334.41064,10334
AA_0348,36.6,33.73,35.16,0,0,0,1140.624924,1141
AA_0350,38.33,0,0,0,0,0,0,0
AA_0351,9.04,39.14,24.09,0,0,0,493011.6057,493012
AA_0352,29.81,30.55,30.18,0,0,0,17492.71187,17493
AA_0353,0,0,0,0,0,0,0,0
AA_0354,37.41,37.22,37.31,0,0,0,350.944221,351
AA_0355,0,0,0,0,0,0,0,0
AA_0356,0,0,0,0,0,0,0,0
AA_0356,0,0,0,0,0,0,0,0
AA_0357,0,0,0,0,0,0,0,0
AA_0358,0,0,0,0,0,0,0,0
AA_0359,0,0,0,0,0,0,0,0
AA_0360,33.07,32.92,32.99,0,0,0,3748.085798,3748
AA_0365,0,0,0,0,0,0,0,0
AA_0366,0,0,0,0,0,0,0,0
AA_0367,0,0,0,0,0,0,0,0
AA_0368,35.86,0,35.73,0,0,0,834.5042858,835
AA_0368,35.6,0,35.73,0,0,0,834.5042858,835
AA_0369,30.42,29.04,29.73,0,0,0,22387.21139,22387
AA_0369,0,0,29.73,0,0,0,22387.21139,22387
AA_0370,0,0,0,0,0,0,0,0
AA_0371,33.18,31.57,32.37,0,0,0,5265.366081,5265
AA_0372,33.7,32.45,33.07,0,0,0,3587.252152,3587
AA_0374,32.48,33.02,32.75,0,0,0,4275.160078,4275
AA_0375,33.46,31.15,32.3,0,0,0,5471.359333,5471
AA_0376,33.34,32.16,32.75,0,0,0,4275.160078,4275
AA_0377,0,0,0,0,0,0,0,0
AA_0378,0,0,0,0,0,0,0,0
AA_0379,23.03,0,0,0,0,0,0,0
AA_0380,32.74,30.09,31.42,0,0,0,8863.781619,8864
AA_0381,0,0,0,0,0,0,0,0
AA_0383,0,0,0,0,0,0,0,0
AA_0384,23.86,0,0,0,0,0,0,0
AA_0385,0,0,0,0,0,0,0,0
AA_0387,0,0,0,0,0,0,0,0
AA_0388,35.55,35.89,35.72,0,0,0,839.0918905,839
AA_0390,0,0,0,0,0,0,0,0
AA_0392,0,0,0,0,0,0,0,0
AA_0393,34.97,34.87,34.92,0,0,0,1301.025217,1301
AA_0393,0,0,34.92,0,0,0,1301.025217,1301
AA_0394,32,32.64,32.32,0,0,0,5411.695265,5412
AA_0395,0,0,0,0,0,0,0,0
AA_0397,0,0,0,0,0,0,0,0
AA_0398,0,0,0,0,0,0,0,0
AA_0399,31.7,32.5,32.1,0,0,0,6105.402297,6105
AA_0401,31.55,33.43,32.49,0,0,0,4930.116057,4930
AA_0402,30.91,32.99,31.95,0,0,0,6628.703162,6629
AA_0403,38.29,34.01,36.15,0,0,0,662.8703162,663
AA_0404,33.77,0,0,0,0,0,0,0
AA_0405,38.23,0,0,0,0,0,0,0
AA_0406,0,0,0,0,0,0,0,0
AA_0407,33.05,32.95,33,0,0,0,3727.59372,3728
AA_0408,36.83,33.34,35.08,0,0,0,1191.764587,1192
AA_0409,33.91,32.35,33.13,0,0,0,3471.172452,3471
AA_0410,0,0,0,0,0,0,0,0
AA_0411,0,0,0,0,0,0,0,0
AA_0412,0,0,0,0,0,0,0,0
AA_0413,0,0,0,0,0,0,0,0
AA_0422,0,0,0,0,0,0,0,0
AA_0423,0,0,0,0,0,0,0,0
AA_0423a,0,0,0,0,0,0,0,0
AA_0424,0,0,0,0,0,0,0,0
AA_0425,0,0,0,0,0,0,0,0
AA_0426,0,0,0,0,0,0,0,0
AA_0427,22.64,0,0,0,0,0,0,0
AA_0428,0,0,0,0,0,0,0,0
AA_0429,0,0,0,0,0,0,0,0
AA_0430,0,0,0,0,0,0,0,0
AA_0431,0,0,0,0,0,0,0,0
AA_0432,0,0,0,0,0,0,0,0
AA_0434,17.74,0,0,0,0,0,0,0
AA_0435,0,0,0,0,0,0,0,0
AA_0436,0,0,0,0,0,0,0,0
AA_0437,0,0,0,0,0,0,0,0
AA_0438,0,0,0,0,0,0,0,0
AA_0439,0,0,0,0,0,0,0,0
AA_0440,0,0,0,0,0,0,0,0
AA_0441,39.24,0,0,0,0,0,0,0
AA_0442,0,0,0,0,0,0,0,0
AA_0443,8.48,37.64,23.06,0,0,0,867152.016,867152
AA_0444,0,0,0,0,0,0,0,0
AA_0445,31.89,31.12,31.51,0,0,0,8437.047151,8437
AA_0446,0,0,0,0,0,0,0,0
AA_0448,0,0,0,0,0,0,0,0
AA_0449,0,0,0,0,0,0,0,0
AA_0450,6.78,0,0,0,0,0,0,0
AA_0451,0,0,0,0,0,0,0,0
AA_0452,0,0,0,0,0,0,0,0
AA_0453,0,0,0,0,0,0,0,0
AA_0454,22.44,0,0,0,0,0,0,0
AA_0455,0,0,0,0,0,0,0,0
AA_0456,0,0,0,0,0,0,0,0
AA_0457,0,0,0,0,0,0,0,0
AA_0458,33.97,30.6,32.28,0,0,0,5531.681198,5532
AA_0459,0,0,0,0,0,0,0,0
AA_0460,0,0,0,0,0,0,0,0
AA_0461,0,0,0,0,0,0,0,0
AA_0462,0,0,0,0,0,0,0,0
AA_0463,0,0,0,0,0,0,0,0
AA_0465,0,0,0,0,0,0,0,0
AA_0466,0,0,0,0,0,0,0,0
AA_0467,0,0,0,0,0,0,0,0
AA_0468,22.98,0,0,0,0,0,0,0
AA_0469,0,0,0,0,0,0,0,0
AA_0470,0,0,0,0,0,0,0,0
AA_0471,0,0,0,0,0,0,0,0
AA_0489,0,0,0,0,0,0,0,0
AA_0490,0,0,0,0,0,0,0,0
AA_0491,0,0,0,0,0,0,0,0
AA_0498,30.2,0,0,0,0,0,0,0
AA_0499,28.79,0,0,0,0,0,0,0
AA_0502,0,0,0,0,0,0,0,0
AA_0506,35.37,0,0,0,0,0,0,0
AA_0511,0,0,0,0,0,0,0,0
AA_0512,0,0,0,0,0,0,0,0
AA_0513,0,0,0,0,0,0,0,0
AA_0514,0,0,0,0,0,0,0,0
AA_0515,0,0,0,0,0,0,0,0
AA_0517,0,0,0,0,0,0,0,0
AA_0518,0,0,0,0,0,0,0,0
AA_0519,34.06,33.24,33.65,0,0,0,2610.157216,2610
AA_0520,0,0,0,0,0,0,0,0
AA_0521,29.61,27.73,28.67,0,0,0,40029.57253,40030
AA_0522,0,0,0,0,0,0,0,0
AA_0523,26.85,25.53,26.19,0,0,0,155903.9587,155904
AA_0524,0,0,0,0,0,0,0,0
AA_0525,0,0,0,0,0,0,0,0
AA_0526,0,0,0,0,0,0,0,0
AA_0527,0,0,0,0,0,0,0,0
AA_0528,0,0,0,0,0,0,0,0
AA_0529,0,0,0,0,0,0,0,0
AA_0530,0,0,0,0,0,0,0,0
AA_0531,0,0,0,0,0,0,0,0
AA_0532,0,0,0,0,0,0,0,0
AA_0533,0,0,0,0,0,0,0,0
AA_0534,31.71,32.17,31.94,15850,12598,14224,6665.143801,6665
AA_0535,38.85,0,0,463,0,0,0,0
AA_0536,19.21,0,0,7.71E+06,0,0,0,0
AA_0536,0,0,0,0,0,0,0,0
