Mouse_ID,qPCR_Date,Plate,Tested_by,Machine,Measurements,Ct_1_Ep,Ct_2_Ep,Ct_1_Ep_Real_Pred,Ct_2_Ep_Real_Pred,Ct_believable,Ct_Ep_Consistent,believable_Ct_value,Ct_mean,Ct_mean_Ep,Ct_mean_ABI,Ct_mean_1_ABI,Ct_mean_2_ABI,Ct_mean_3_ABI,Ct_1_ABI,Ct_2_ABI,Ct_3_ABI,Ct_4_ABI,Ct_5_ABI,Ct_6_ABI,Ct_7_ABI,Ct_8_ABI,Ct_9_ABI,StDev,Oocyst_Predict
AA_0191,2016,0,YVT,Eppendorf,1,5.19,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0
AA_0192,2016,0,YVT,Eppendorf,1,7.73,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.87,0
AA_0193,2016,0,YVT,Eppendorf,1,6.81,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41,0
AA_0194,2016,0,YVT,Eppendorf,1,6.7,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,0
AA_0195,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0196,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0197,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0198,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0199,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0200,2016,0,YVT,Eppendorf,1,9.76,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.88,0
AA_0201,2016,0,YVT,Eppendorf,1,6.45,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,0
AA_0202,2016,0,YVT,Eppendorf,1,38.91,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.46,0
